sent_at_ms	latency_us	delay_since_due_us
1790219134852	56	56
1790219134853	52	53
1790219134854	56	56
1790219134855	56	56
1790219134856	58	58
1790219134857	53	53
1790219134858	59	59
1790219134859	53	53
1790219134860	52	52
1790219134861	56	56
1790219134862	53	53
1790219134863	55	55
1790219134864	53	53
1790219134865	52	52
1790219134866	53	53
1790219134867	56	56
1790219134868	52	52
1790219134869	53	53
1790219134870	55	55
1790219134871	55	55
1790219134872	57	57
1790219134873	54	54
1790219134874	54	54
1790219134875	55	55
1790219134876	58	58
1790219134877	52	52
1790219134878	57	57
1790219134879	54	54
1790219134880	55	55
1790219134881	55	55
1790219134882	56	56
1790219134883	51	51
1790219134884	55	55
1790219134885	51	51
1790219134886	55	55
1790219134887	51	51
1790219134888	55	55
1790219134889	54	54
1790219134890	54	54
1790219134891	52	52
1790219134892	55	55
1790219134893	52	52
1790219134894	55	55
1790219134895	51	51
1790219134896	53	53
1790219134897	54	54
1790219134898	54	54
1790219134899	53	53
1790219134900	57	57
1790219134901	50	50
1790219134902	58	58
1790219134903	52	52
1790219134904	55	55
1790219134905	51	51
1790219134906	59	59
1790219134907	54	54
1790219134908	54	54
1790219134909	57	57
1790219134910	54	54
1790219134911	53	53
1790219134912	53	53
1790219134913	51	51
1790219134914	56	56
1790219134915	51	51
1790219134916	55	55
1790219134917	57	57
1790219134918	52	52
1790219134919	55	55
1790219134920	58	59
1790219134921	60	60
1790219134922	52	52
1790219134923	97	97
1790219134924	56	56
1790219134925	54	54
1790219134926	58	58
1790219134927	55	55
1790219134928	56	56
1790219134929	51	51
1790219134930	54	54
1790219134931	56	56
1790219134932	56	56
1790219134933	52	52
1790219134934	53	53
1790219134935	56	56
1790219134936	54	54
1790219134937	53	53
1790219134938	54	54
1790219134939	59	59
1790219134940	52	52
1790219134941	55	55
1790219134942	54	54
1790219134943	55	55
1790219134944	54	54
1790219134945	58	58
1790219134946	50	50
1790219134947	54	54
1790219134948	58	58
1790219134949	53	53
1790219134950	67	67
1790219134951	52	52
1790219134952	55	55
1790219134953	53	53
1790219134954	55	55
1790219134955	58	58
1790219134956	56	56
1790219134957	53	53
1790219134958	54	54
1790219134959	52	52
1790219134960	54	54
1790219134961	51	51
